Dato;Kronsekurs
2022-01-03;8,8078
2022-01-04;8,8783
2022-01-05;8,8057
2022-01-06;8,8688
2022-01-07;8,8766
2022-01-10;8,8578
2022-01-11;8,836
2022-01-12;8,7309
2022-01-13;8,6655
2022-01-14;8,7239
2022-01-17;8,7366
2022-01-18;8,7655
2022-01-19;8,7587
2022-01-20;8,7827
2022-01-21;8,8582
2022-01-24;8,9913
2022-01-25;8,9976
2022-01-26;8,8778
2022-01-27;8,9519
2022-01-28;9,0016
2022-01-31;8,9714
2022-02-01;8,8488
2022-02-02;8,7634
2022-02-03;8,8202
2022-02-04;8,7651
2022-02-07;8,7934
2022-02-08;8,8322
2022-02-09;8,7962
2022-02-10;8,8026
2022-02-11;8,823
2022-02-14;8,8983
2022-02-15;8,8932
2022-02-16;8,8898
2022-02-17;8,9028
2022-02-18;8,9365
2022-02-21;8,9732
2022-02-22;8,9065
2022-02-23;8,8448
2022-02-24;9,0368
2022-02-25;8,8941
2022-02-28;8,8816
2022-03-01;8,8334
2022-03-02;8,8984
2022-03-03;8,8857
2022-03-04;8,9997
2022-03-07;9,0248
2022-03-08;8,9905
2022-03-09;8,9129
2022-03-10;8,9489
2022-03-11;8,9202
2022-03-14;8,9953
2022-03-15;8,961
2022-03-16;8,9129
2022-03-17;8,8499
2022-03-18;8,8063
2022-03-21;8,7493
2022-03-22;8,7294
2022-03-23;8,7779
2022-03-24;8,6467
2022-03-25;8,6534
2022-03-28;8,6744
2022-03-29;8,6599
2022-03-30;8,6642
2022-03-31;8,7479
2022-04-01;8,743
2022-04-04;8,6769
2022-04-05;8,6971
2022-04-06;8,7451
2022-04-07;8,7573
2022-04-08;8,7543
2022-04-11;8,7594
2022-04-12;8,7833
2022-04-13;8,8392
2022-04-19;8,815
2022-04-20;8,8128
2022-04-21;8,7984
2022-04-22;8,8985
2022-04-25;9,0283
2022-04-26;9,1758
2022-04-27;9,2448
2022-04-28;9,4411
2022-04-29;9,2528
2022-05-02;9,4306
2022-05-03;9,3871
2022-05-04;9,4048
2022-05-05;9,3171
2022-05-06;9,4426
2022-05-09;9,5258
2022-05-10;9,6944
2022-05-11;9,6459
2022-05-12;9,8864
2022-05-13;9,826
2022-05-16;9,805
2022-05-18;9,7049
2022-05-19;9,7959
2022-05-20;9,7022
2022-05-23;9,6182
2022-05-24;9,5979
2022-05-25;9,6381
2022-05-27;9,4936
2022-05-30;9,4069
2022-05-31;9,4262
2022-06-01;9,3762
2022-06-02;9,4318
2022-06-03;9,4157
