Open;Close;High;Low;Volume;Date
71.86;72.05;72.53;70.68;;05/22/23
71.85;71.69;73.4;70.98;;05/19/23
72.68;71.86;72.88;71.43;;05/18/23
70.48;72.83;73.25;70.05;;05/17/23
71.34;70.86;71.78;70.45;;05/16/23
70.09;71.11;71.7;69.41;;05/15/23
71.42;70.04;71.77;69.94;;05/12/23
72.38;70.87;73.49;70.63;;05/11/23
73.54;72.56;73.89;71.81;;05/10/23
72.77;73.71;73.77;71.34;;05/09/23
71.32;73.16;73.69;71.03;;05/08/23
68.61;71.34;71.8;68.49;;05/05/23
68.21;68.56;69.83;62.4;;05/04/23
71.55;68.6;71.79;67.95;;05/03/23
75.74;71.66;76.11;71.42;;05/02/23
76.68;75.66;76.71;74.54;;05/01/23
74.83;76.78;76.92;73.93;;04/28/23
74.38;74.76;75.28;74.03;;04/27/23
77.13;74.3;77.92;74.06;;04/26/23
78.52;77.07;79.07;76.52;;04/25/23
77.99;78.76;79.19;76.71;;04/24/23
77.24;77.87;78.38;76.73;;04/21/23
0;77.37;0;76.97;;04/20/23
80.93;79.16;81.4;78.45;;04/19/23
81.04;80.86;81.49;79.88;;04/18/23
82.45;80.83;82.71;80.46;;04/17/23
82.32;82.52;83.12;81.77;;04/14/23
83.25;82.16;83.44;82.11;;04/13/23
81.47;83.26;83.53;81.28;;04/12/23
79.88;81.53;81.59;79.38;;04/11/23
80.51;79.74;81.21;79.59;;04/10/23
0;80.7;0;0;;04/07/23
80.35;80.7;80.96;79.65;;04/06/23
81;80.61;81.23;79.73;;04/05/23
80.63;80.71;81.8;79.62;;04/04/23
79.14;80.42;81.79;79;;04/03/23
74.37;75.67;75.8;73.76;;03/31/23
72.88;74.37;74.62;72.6;;03/30/23
73.58;72.97;74.37;72.77;;03/29/23
72.87;73.2;73.93;72.2;;03/28/23
69.4;72.81;73.09;69.11;;03/27/23
69.5;69.26;70.38;66.82;;03/24/23
69.92;69.96;71.67;69.14;;03/23/23
69.51;70.9;71.3;68.9;;03/22/23
0;69.67;69.76;66.88;;03/21/23
66.66;67.64;67.68;64.09;;03/20/23
68.24;66.74;69.64;65.21;;03/17/23
68.37;68.35;69.37;65.72;;03/16/23
71.52;67.61;72.56;65.65;;03/15/23
74.73;71.33;74.77;70.78;;03/14/23
76.68;76.46;77.47;76.15;;03/13/23
75.67;76.68;77.13;74.76;;03/10/23
76.58;75.72;78.05;75.43;;03/09/23
77.33;76.66;77.73;76.11;;03/08/23
80.48;77.58;80.94;77.06;;03/07/23
79.88;80.46;80.64;78.32;;03/06/23
78.01;79.68;79.91;75.84;;03/03/23
77.76;78.16;78.59;77.23;;03/02/23
76.91;77.69;77.84;76.13;;03/01/23
