Dato;styringsrente;;;;;;;
30.06.2021;0,00;;;;;;;
30.09.2021;0,02;;;;;;;
31.12.2021;0,29;;;;;;;
31.03.2022;0,52;;;;;;;
30.06.2022;0,79;;;;;;;
30.09.2022;1,53;;;;;;;
31.12.2022;2,45;;;;;;;
31.03.2023;2,78;;;;;;;
30.06.2023;3,18;;;;;;;
30.09.2023;3,52;;;;;;;
31.12.2023;3,60;;;;;;;
31.03.2024;3,59;;;;;;;
30.06.2024;3,56;;;;;;;
30.09.2024;3,51;;;;;;;
31.12.2024;3,45;;;;;;;
31.03.2025;3,37;;;;;;;
30.06.2025;3,27;;;;;;;
30.09.2025;3,16;;;;;;;
31.12.2025;3,02;;;;;;;
31.03.2026;2,89;;;;;;;
30.06.2026;2,77;;;;;;;
30.09.2026;2,65;;;;;;;
31.12.2026;2,54;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
