;KPI;KPI-JAE;KPIXE;Trimmet snitt ¹;Vektet median ¹
jan.06;1,8;0,8;1,3;1,6;1,7
feb.06;2,6;1,0;1,4;1,7;1,8
mar.06;2,3;0,8;1,4;1,5;1,6
apr.06;2,7;0,8;1,3;1,5;1,8
mai.06;2,3;0,8;1,2;1,5;1,6
jun.06;2,2;0,8;1,3;1,5;1,7
jul.06;2,1;0,6;1,1;1,5;1,7
aug.06;1,9;0,2;0,9;1,3;2,1
sep.06;2,7;0,6;1,0;1,3;1,6
okt.06;2,7;0,7;1,2;1,4;2,3
nov.06;2,5;0,8;1,3;1,7;2,3
des.06;2,2;0,9;1,4;1,6;1,9
jan.07;1,2;1,0;1,5;1,2;1,7
feb.07;0,7;1,1;1,5;1,1;1,7
mar.07;1,1;1,5;1,9;1,4;1,4
apr.07;0,2;1,3;1,8;1,2;1,3
mai.07;0,4;1,3;1,9;1,2;1,2
jun.07;0,4;1,2;1,7;1,1;1,1
jul.07;0,5;1,4;1,8;1,1;1,5
aug.07;0,4;1,9;2,3;1,5;1,6
sep.07;-0,4;1,7;2,1;1,6;1,8
okt.07;-0,2;1,4;1,9;1,6;1,5
nov.07;1,5;1,5;2,0;1,9;1,6
des.07;2,8;1,8;2,3;2,6;2,2
jan.08;3,6;1,9;2,4;2,9;2,4
feb.08;3,8;2,2;2,8;3,1;2,3
mar.08;3,2;2,2;2,7;3,3;3,0
apr.08;3,2;2,3;3,0;3,4;3,1
mai.08;3,1;2,3;2,9;3,3;3,0
jun.08;3,4;2,5;3,0;3,5;3,4
jul.08;4,3;2,9;3,5;3,8;3,6
aug.08;4,5;2,7;3,4;3,6;3,1
sep.08;5,3;3,1;3,7;3,9;3,1
okt.08;5,4;3,4;3,6;4,0;3,2
nov.08;3,1;2,7;2,9;3,1;3,2
des.08;2,2;2,7;2,8;2,7;2,9
jan.09;2,3;2,8;2,9;2,8;4,1
feb.09;2,5;3,0;3,0;3,0;4,0
mar.09;2,5;2,6;2,7;3,0;3,4
apr.09;2,9;2,9;2,7;3,0;3,5
mai.09;3,1;2,8;2,8;3,1;3,9
jun.09;3,4;3,3;3,3;3,3;3,7
jul.09;2,3;2,5;2,5;2,8;3,4
aug.09;1,9;2,4;2,3;2,2;3,1
sep.09;1,2;2,4;2,3;2,2;2,8
okt.09;0,7;2,0;2,0;1,9;2,7
nov.09;1,6;2,5;2,3;2,7;2,5
des.09;2,0;2,4;2,4;2,7;2,3
jan.10;2,5;2,4;2,4;2,5;2,5
feb.10;2,9;1,9;2,1;2,5;3,0
mar.10;3,5;1,7;1,9;2,5;2,7
apr.10;3,3;1,6;2,0;2,3;2,5
mai.10;2,6;1,6;1,9;2,1;2,2
jun.10;1,9;1,3;1,6;1,9;2,4
jul.10;1,9;1,3;1,5;1,9;2,4
aug.10;1,9;1,3;1,6;1,9;2,8
sep.10;1,8;0,9;1,2;1,7;2,5
okt.10;2,1;1,0;1,3;1,9;2,6
nov.10;2,0;1,0;1,4;1,7;2,5
des.10;2,8;1,1;1,5;1,8;2,6
jan.11;2,0;0,7;1,0;1,2;2,3
feb.11;1,2;0,8;1,1;1,1;2,1
mar.11;1,0;0,9;1,2;0,9;1,7
apr.11;1,3;1,3;1,6;0,9;2,0
mai.11;1,6;1,1;1,2;1,3;2,0
jun.11;1,4;0,7;0,8;1,1;2,0
jul.11;1,6;1,1;1,3;1,2;2,0
aug.11;1,3;0,8;0,9;1,0;1,9
sep.11;1,5;1,3;1,3;1,2;1,7
okt.11;1,3;1,2;1,2;1,3;1,4
nov.11;1,1;1,0;1,0;1,1;1,6
des.11;0,1;1,0;0,9;1,1;1,7
jan.12;0,5;1,3;1,2;1,4;1,7
feb.12;1,2;1,3;1,2;1,3;1,7
mar.12;0,7;1,5;1,3;1,4;1,7
apr.12;0,3;0,9;0,6;1,1;1,7
mai.12;0,5;1,3;1,1;1,3;1,6
